?anat	?dystrophin	?avg_val
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	"10.503334"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"13.033334"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"7.4100013"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.016666668"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"25.213331"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"26.21"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	"1.8666666"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"3.8000002"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"2.9633334"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.8766666"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"6.15"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"6.193333"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	"0.22"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"0.70000005"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"1.3333334"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.16333334"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"2.56"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"5.816667"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cingulate_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	
<https://rdf.biosemantics.org/resources/bind/anatomy/Cingulate_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"7.4333324"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cingulate_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"0.45666662"^^<http://www.w3.org/2001/XMLSchema#float>
